序号,养殖场（企业）名称,经度,纬度,养殖规模（头）
1,平罗县汇众鑫牧业有限公司,106.59,38.88,1613
2,宁夏广德源农牧开发有限公司,106.88,38.98,4597
3,宁夏茂草园牧业有限公司,106.44,38.76,2036
4,宁夏澳兰牧业有限公司,106.86,38.95,4866
5,宁夏黄河金沙泉农业综合开发有限公司,106.86,38.93,4410
6,宁夏正元生态农业科技发展有限公司,106.85,38.89,5902
7,宁夏金海农牧科技有限公司平罗县畜牧养殖基地,106.64,38.66,4288
8,宁夏玖倍尔农业发展有限公司,106.63,38.68,758
9,宁夏锦州农产品专业合作社,106.63,38.68,94
10,宁夏欣启源农牧科技有限公司,106.57,38.85,2859
11,宁夏利垦牧业有限责任公司第二奶牛场,106.93,39,10339
12,平罗县合复奶牛养殖有限公司,106.52,38.84,640
13,宁夏瑞丰源牧业有限公司,106.87,38.97,23242
14,宁夏瑞翔源农牧科技有限公司,106.86,38.94,1545
15,宁夏鑫牧源牧业有限公司,106.32,38.51,2462
16,宁夏祥元农林牧专业合作社,106.85,38.9,1008
17,平罗县盛华阳光农牧开发有限公司,106.85,38.9,1254
18,平罗县永和奶牛养殖专业合作社,106.55,38.94,621
19,宁夏利垦牧业有限责任公司第一奶牛场,106.92,38.99,10578
20,宁夏农垦乳业股份有限公司简泉奶牛场,106.56,39.12,11820
21,惠农区塞上富源奶牛养殖专业合作社,106.78,39.12,2748
22,宁夏牛德草农牧有限公司,106.6,39.08,1284
23,惠农区润通养殖专业合作社,106.78,39.12,1416
24,宁夏祥通农牧开发有限公司,106.58,39.1,2084
25,石嘴山市宏润达农牧有限公司,106.71,39.08,106
26,石嘴山市燕龙农贸有限公司,106.66,39.1,3193
27,惠农区兴业奶牛养殖专业合作社,106.71,39.17,1883
28,石嘴山市先农养殖有限公司,106.71,39.17,3282
29,宁夏茂草原牧业有限公司,106.44,38.76,2036
30,宁夏利垦牧业有限责任公司第三奶牛场,106.88,39,11275
31,银川茂林养殖专业合作社,106.123611,38.248333,2561
32,宁夏镇东养殖专业合作社,106.124722,38.251667,3621
33,永宁县荣俊养殖专业合作社,106.115556,38.215,2462
34,宁夏永宁蓝天奶牛养殖专业合作社,106.206111,38.341667,1000
35,宁夏永宁蓝天奶牛养殖专业合作社,106.206111,38.341667,1000
36,宁夏骏华月牙湖农牧科技股份有限公司,106.581389,38.561389,7029
37,宁夏东泽农牧科技有限公司,106.586944,38.571111,738
38,宁夏赛科星养殖有限责任公司,106.575833,38.555,8116
39,宁夏德广养殖有限责任公司,106.629722,38.602778,758
40,银川戴尔瑞养殖种植专业合作社,106.576111,38.561111,1091
41,银川嘉诚春天奶牛养殖专业合作社,106.581944,38.571944,1744
42,宁夏众胜昌牧业有限公司,106.586111,38.575833,594
43,宁夏辉豪养殖有限公司,106.588611,38.581944,2709
44,银川康绿源奶牛养殖有限公司,106.596389,38.593611,1652
45,银川轩禾奶牛养殖专业合作社,106.380556,38.43,276
46,银川市天佑牧乐养殖农民专业合作社,106.400556,38.435,580
47,银川牧翔养殖有限公司,106.333333,38.415,971
48,宁夏塞上阳光牧场养殖有限公司,106.334722,38.415833,1263
49,银川联农兴牧养殖专业合作社,106.481944,38.434444,185
50,宁夏瑞牧翔养殖专业合作社,106.448611,38.436111,1013
51,宁夏农垦乳业股份有限公司平吉堡第一奶牛场,106.0321324,38.39550435,2182
52,宁夏农垦乳业股份有限公司平吉堡第二奶牛场,106.0589197,38.43835469,2131
53,宁夏农垦乳业股份有限公司平吉堡第三奶牛场,106.0333716,38.41949127,1202
54,宁夏贺兰山奶牛原种繁育有限公司,106.0384477,38.39338744,1408
55,宁夏农垦乳业股份有限公司平吉堡第五奶牛场,106.0485891,38.37459218,1564
56,宁夏农垦乳业股份有限公司平吉堡第六奶牛场,105.9917759,38.39649446,4995
57,宁夏农垦乳业股份有限公司茂盛牧场,106.0542633,38.55134883,4796
58,宁夏俊佑牧业科技有限公司,106.0472078,38.35741894,2528
59,宁夏农垦乳业股份有限公司平吉堡第一奶牛场,106.0321324,38.39550435,2182
60,宁夏鑫新顺达农牧有限公司,106.38,37.778333,3000
61,宁夏昊盛达农牧有限公司,106.412834,37.853876,3000
62,灵武市新众乐养殖有限公司,106.602,37.8012,655
63,宁夏益农利牧农牧有限公司,106.589722,37.794444,3000
64,灵武市少军奶牛养殖专业合作社,106.361944,37.796111,2526
65,宁夏昊新牧业有限公司,106.428333,37.782222,2754
66,宁夏塞上牧源牧业有限公司,106.583333,37.8,16000
67,宁夏富盛源农业发展有限公司,106.42244,37.78073,4385
68,宁夏兴源达农牧有限公司,106.36298,37.822129,3000
69,灵武市小西牛牧业有限公司,106.593983,37.782147,2800
70,宁夏德峰牧业有限公司,106.535306,37.773654,5237
71,灵武市嘉勇牧业有限公司,106.33,37.46,3000
72,宁夏永澳源农牧有限公司,106.366667,37.8,3475
73,宁夏鼎盛宁康奶牛养殖有限公司,106.543935,37.773129,1700
74,宁夏康晟乐农牧有限公司,106.336389,37.810556,1980
75,宁夏农垦乳业股份有限公司灵武奶牛场,106.313056,38.113333,2543
76,宁夏天牧钰丰牧业有限公司,106.381944,37.975556,1270
77,宁夏农垦乳业股份有限公司白土岗奶牛场,106.389444,37.775278,12001
78,宁夏润育德牧业发展有限公司,106.575278,37.765833,4113
79,宁夏鑫泰牧业有限公司,106.532356,37.77023,2380
80,宁夏塞上百菲牧业有限公司,106.54677,37.758568,4199
81,宁夏塞上百菲牧业有限公司,106.54677,37.758568,4199
82,宁夏沃源闹夼┠劣邢薰司,106.427783,37.87965,2984
83,宁夏丰岗农牧有限公司。,106.550556,37.768611,820
84,宁夏春田牧业有限公司,106.2433,37.4627,2966
85,宁夏春田牧业有限公司,106.2433,37.4627,2966
86,宁夏煜博睿鑫牧业有限公司。,106.3558,37.4631,980
87,宁夏蓝沙牧业有限公司,106.539444,37.765278,1200
88,宁夏鑫茂源牧业有限公司,106.633252,37.806469,1393
89,灵武市小西牛牧业有限公司,106.594022,37.782147,2800
90,宁夏长宏康农业有限公司,106.433326,37.780432,4500
91,灵武市金昊达奶牛养殖有限公司,106.334722,38.041111,530
92,宁夏耐达农牧有限公司,106.353,37.4623,1682
93,宁夏长宏康农业发展有限公司,106.433056,37.780556,4345
94,灵武市鑫旺达农牧有限公司,106.59884,37.795322,7000
95,宁夏晟丰源牧业有限公司,106.58628,37.76972,4500
96,宁夏晟丰源牧业有限公司,106.58628,37.76972,4500
97,宁夏钰瑶鑫晟农牧有限公司,106.58,37.785,2001
98,宁夏西格马农牧业有限公司,106.385345,37.800865,3015
99,宁夏中奶牧业有限公司,106.597222,37.774167,1067
100,灵武市鑫盛达牧业有限公司,106.573489,37.800858,2000
101,灵武市幸福牛牧业有限公司,106.599722,37.782222,6600
102,宁夏伊源达农牧有限公司,106.412878,37.773303,3243
103,宁夏泽瑞生态养殖牧业有限公司,106.3475,37.805,6236
104,宁夏翔达牧业科技有限公司,106.148889,38.375833,5000
105,贺兰县金牧养殖有限公司,106.2393806,38.6904774,1500
106,贺兰优源润泽牧业有限公司（贺兰中地）,106.3374081,38.7345602,10000
107,宁夏优源天泽牧业有限公司 （宁夏中地）,106.3367613,38.7269746,10000
108,贺兰县欣荣奶牛养殖专业合作社,106.3945099,38.7432908,1500
109,宁夏农垦乳业股份有限公司暖泉牧场分公司,106.1838317,38.7998947,7000
110,宁夏汇丰源牧业股份有限公司,106.0403031,38.6941641,5000
111,宁夏银川市忠良农业开发股份有限公司,106.1191824,38.7317761,2000
112,宁夏合欣牧业有限公司,106.1387654,38.7524115,1500
113,宁夏贺兰县瑞飞养殖有限公司,106.1351003,38.7400225,1500
114,宁夏万家乳业有限公司,106.1639808,38.6982507,1500
115,宁夏合牧农业科技有限公司,106.4306419,38.5228738,1500
116,贺兰县金贵镇五三奶牛养殖有限公司,106.4066777,38.4717268,900
117,宁夏青松乳业有限公司,106.3802868,38.5271788,1000
118,吴忠市万利奶牛养殖专业合作社,106.21.13,37.43.10,2400
119,宁夏三合源农牧有限公司,106.355816,37.621487,3000
120,宁夏弈安牧业有限公司,106.3421,37.611,2700
121,宁夏明帅牧业有限公司,106.343056,37.623889,2400
122,宁夏奥巴牛农牧有限公司,106.294444,37.73,3900
123,宁夏慧旺牧业有限公司,106.35,37.68,2300
124,吴忠市嘉诚奶牛养殖专业合作社,106.276111,37.470278,2400
125,吴忠市奶谘殖专业合作社,106,37.28,7000
126,宁夏牧香源牧业有限公司,106.303333,37.633611,1650
127,吴忠市小西牛养殖有限公司,106.283889,37.748333,3600
128,吴忠市利通区荣跃奶牛养殖专业合作社,106.3416998,37.72520481,5000
129,宁夏沃野牧丰农牧股份有限公司,106.329444,37.621944,3440
130,吴忠市国喜牧业有限公司,106.328267,37.628588,5100
131,宁夏哆硒呀农牧有限公司,106.359709,37.779078,5000
132,宁夏东旺牧业有限公司,106.523032,38.068399,2200
133,宁夏鑫乐源牧业有限公司,106.305833,37.720278,3000
134,吴忠市鹏博牧业有限公司,106.313994,37.625247,1350
135,宁夏欣哪烈涤邢薰司,106.315926,37.629568,2400
136,宁夏志同道合牧业有限责任公司,106.296944,37.719167,3000
137,吴忠市万财奶牛养殖专业合作社,106.272778,37.760278,2723
138,吴忠市春英奶牛养殖专业合作社,106.22,37.42,3000
139,宁夏太宇鑫丰农牧有限公司,106.22,37.42,3000
140,宁夏浩栩牧业有限公司,106.21,37.36,1570
141,宁夏涛泽牧业有限公司,106.347222,37.618611,2220
142,吴忠市润奇奶牛养殖专业合作社,37.55,106.8,3000
143,吴忠市秀琴奶牛养殖专业合作社,106.27716,37.76582,4900
144,现代牧业（吴忠）有限公司,106.26862,37.76248,2000
145,吴忠市牛满坡奶牛养殖合作社,106.27894,37.75284,2200
146,吴忠市骏源养殖有限公司,106.30484,37.73815,2520
147,吴忠市泽宁奶牛养殖专业合作社,106.28097,37.74915,930
148,宁夏五里牛园牧业有限公司,106.29382,37.72625,1400
149,吴忠市富农奶牛养殖专业合作（三场）,106.29156,37.74161,3000
150,吴忠市安易薪农牧有限公司,106.29946,37.72485,2008
151,吴忠市鑫启源养殖专业合作社,106.31267,37.73227,2514
152,宁夏尚乐农牧有限公司,106.28857,37.72092,4670
153,吴忠市伊牛奶牛养殖专业合作社,106.35613,37.61736,555
154,宁夏昊恺农牧发展有限公司（1场）,106.31506,37.71382,10207
155,宁夏昊恺农牧发展有限公司（4场）,106.31506,37.71382,2000
156,吴忠市鑫盛达牧业有限公司,106.3496,37.68798,1896
157,宁夏喜来宝农牧有限公司,106.35476,37.6786,1310
158,宁夏昊恺农牧发展有限公司（5场）,106.32708,37.6411,12438
159,宁夏昊恺农牧发展有限公司（6场）,106.32767,37.64083,4721
160,宁夏牧香源牧业有限公司,106.30449,37.63358,1730
161,宁夏万牧园农牧有限公司,106.31154,37.62557,1440
162,宁夏兴牛牧业有限公司,106.31205,37.62592,3800
163,宁夏万如裕农牧有限公司,106.31777,37.62027,2500
164,宁夏都然养殖有限公司,106.328267,37.628588,1380
165,宁夏金宇浩源农牧业发展有限公司,106.663333,37.576667,7000
166,宁夏元邦牧业科技有限公司,106.67,37.59,4600
167,宁夏瑞锦晟畜牧有限公司,106.751105,37.566474,1900
168,盐池县绿汇草香农业发展有限公司,107.15298,37.491243,1300
169,青铜峡市恒源林牧有限公司,105.135,37.150278,5325
170,宁夏恒天然牧业有限公司,105.8424,37.928,5504
171,青铜峡市恒源林牧有限公司第一分公司,105.827778,37.96667,5460
172,宁夏一加禾牧业有限公司,105.883889,38.081111,1583
173,青铜峡市永青奶牛养殖专业合作社,105.936944,37.968611,1330
174,宁夏天天奶牛养殖专业合作社,106.126389,37.851111,2590
175,宁夏青铜峡市牛首源农牧业有限公司,106.051667,37.800278,2603
176,宁夏华牧农牧科技有限公司,105.949444,37.995833,1945
177,宁夏牧源牧业科技有限公司,106.133333,38.018056,3379
178,青铜峡市金山奶牛养殖专业合作社,106.122778,37.832222,1667
179,青铜峡市万花牧业专业合作社,106.076389,37.827222,3355
180,宁夏鑫源农牧有限公司,106.036389,37.858889,1175
181,青铜峡市丰牧源牧业有限公司,106.04,37.85,3180
182,宁夏浩翔牧业有限公司,106.126389,37.851111,1484
183,青铜峡市牧源牧业有限公司,106.12,37.81,2043
184,青铜峡市牛顺源农牧有限公司,106.12,37.83,4527
185,青铜峡市牛瑞源农牧有限公司,106.12,37.83,3705
186,宁夏青铜峡市牛誉源农牧业有限公司,106.12,37.83,2315
187,青铜峡市蔡进农牧开发有限公司,105.953056,38.056111,1861
188,青铜峡市天徕农牧发展有限公司,105.985833,37.981667,1050
189,青铜峡市康盛奶牛养殖场,105.973333,38.106389,2519
190,宁夏聚牧农牧业发展有限公司,106.08,37.85,4802
191,青铜峡市伊友奶牛养殖专业合作社,106.085,38.625,1949
192,青铜峡市嘉泰奶牛养殖专业合作社,105.946111,37.971389,2208
193,宁夏向东牧业有限公司,106.126389,37.851111,1983
194,宁夏义龙牧业有限公司,106.101667,38.084167,587
195,宁夏金晟源养殖有限公司,106.100556,37.869722,1510
196,宁夏启鑫田农牧业有限公司,106.2025,37.855,220
197,宁夏上陵澳兰牧业科技有限公司,105.935,38.14,352
198,宁夏莱都惠民养殖有限公司,105.884167,38.0875,578
199,宁夏农垦牛羊肉食品有限公司,106.079722,38.148333,2077
200,青铜峡市鹏博牧场,106.047222,38.103333,54
201,青铜峡市希军养殖专业合作社,106.126667,37.851389,1090
202,青铜峡市峡口紫石台综合养殖有限公司,106.070278,37.827222,100
203,宁夏伊达利牧业有限公司,106.085,37.82,1800
204,宁夏欣瑞源牧业有限公司,106.05,37.87,291
205,宁夏青铜峡市金水渊农牧有限公司,106.070278,37.135,3689
206,青铜峡市先锋农牧有限公司,106.048056,37.880278,1342
207,宁夏新希望贺兰山牧业有限公司,106.2,37.5,10000
208,宁夏新希望塞上牧业有限公司,106.27,37.99,7000
209,吴忠优然牧业有限责任公司,106.266667,37.583333,5697
210,宁夏靖宇农牧有限公司,106.21,37.67,5963
211,宁夏欣庆农牧有限公司,106.27,37.66,9887
212,宁夏义明农牧有限公司,106.2,37.633333,3860
213,宁夏伊蒙达农牧开发有限公司,106.217222,37.630556,3200
214,宁夏宁德利农牧有限公司,106.2009,37.6429,3036
215,宁夏金谷禾川农牧有限公司,106.226111,37.674722,1860
216,宁夏伊蒙源农牧科技有限公司,106.183333,37.633333,3600
217,宁夏鸿德瑞农牧有限公司,106.22,37.67,1269
218,吴忠市豪山奶牛养殖专业合作社,106.35,37.883333,2500
219,宁夏勇祥农牧有限公司,106.190001,37.70836,1830
220,宁夏欣泽源农牧有限公司,106.18,37.69,2867
221,宁夏利祥源农牧有限公司,106.254254,37.580175,1500
222,宁夏骏峰牧业有限公司,106.21,37.74,600
223,吴忠市优牧源奶牛养殖专业合作社,106.25,37.566667,1550
224,吴忠市吉兴黾彝ヅ┏,106.192742,37.688505,1411
225,宁夏宏业牧业有限公司,106.453611,37.954167,700
226,宁夏昆弟牧业有限公司,106.453611,37.954167,2000
227,吴忠市惠众家庭农场,106.419167,37.890833,1500
228,宁夏中轩农牧业发展有限公司,106.21,37.74,1000
229,吴忠市乐牧农牧有限公司,106.25,37.566667,700
230,宁夏极牛牧业有限公司,106.187778,37.759444,1200
231,宁夏沁春农牧有限公司（租赁振正浩牧业）,106.25,37.6,2100
232,宁夏澜岫牧业有限公司,106.27,37.78,326
233,中卫市文军奶牛养殖农民专业合作社,105.25,37.58,485
234,宁夏北任原业农牧科技有限公司（原奶冢,105.31,37.59,1241
235,中卫市郑口奶牛养殖农民专业合作社,105.34,37.57,739
236,中卫市华汇奶牛养殖农民专业合作社,105.28,37.58,756
237,中卫市志鹏奶牛养殖农民专业合作社,105.26,37.59,1169
238,中卫市众鑫源奶牛养殖农民专业合作社,105.26,37.59,1790
239,中卫市宏N源奶牛养殖农民专业合作社,105.26,37.61,1298
240,中卫市玉睿畜牧养殖有限公司（合众源）,105.36,37.57,848
241,中卫市政欣奶牛养殖农民专业合作社,105.29,37.6,971
242,中卫市六和鑫奶牛养殖农民专业合作社,105.28,37.58,370
243,中卫市鸿宇源奶牛养殖农民专业合作社,105.28,37.58,1140
244,中卫市塞外奶牛养殖农民专业合作社,105.26,37.59,1299
245,中卫市润厚源奶牛养殖农民专业合作社（含泽厚源）,105.08,37.6,5344
246,中卫市恒源奶牛养殖农民专业合作社,105.14,37.63,941
247,中卫市康圣奶牛养殖农民专业合作社,105.09,37.5,1685
248,中卫市沐沙奶牛养殖农民专业合作社（含沐露牧哥澳宁）,105.09,37.57,8842
249,中卫市东春源奶牛养殖农民专业合作社,105.07,37.61,1855
250,中卫市均和奶牛养殖专业合作社,105.31,37.55,910
251,中卫市军润奶牛养殖农民专业合作社,105.38,37.54,1200
252,宁夏阜民丰牧业发展有限责任公司,105.11,37.44,9450
253,中卫光明生态智慧牧场有限公司,105.2,37.41,11187
254,中卫市富农畜牧养殖专业合作社,105.23,37.42,1620
255,宁夏大青山农牧业发展有限公司,105.51,37.35,11154
256,中卫市鑫文奶牛养殖专业合作社,105.45,37.46,562
257,中宁县恒和良种奶牛场,105.85,37.45,1270
258,中垦天宁牧业有限公司,105.83,37.45,11898
259,宁夏农垦贺兰山奶业有限公司渠口牧场,105.86,37.71,6110
260,宁夏兴垦牧业有限公司（第一牧场）,105.78,37.69,12020
261,宁夏牛一农牧有限公司,105.81,37.66,6580
262,兴垦牧业有限公司第二奶牛场,105.8,37.65,18200
263,海原县新希望牧业有限公司,105.44,36.61,10172
